Pi Pico,Key,TRRS,,,,,,,,,,,,,,
1,,TRRS-R1,,,1,4,7,10,13,16,,,,,,
2,,TRRS-R2,,,2,5,8,11,14,17,,,,,,
3,,,,,3,6,9,12,15,18,,,,,,
4,13,,,,,,,,,19,20,21,,For Right Hand,TRRS-R1,GP1
5,14,,,,,,,,,,,,,,TRRS-R2,GP2
6,10,,,,,,,,,,,,,,,
7,11,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,
10,7,,,,,,,,,,,,,,,
11,8,,,,,,,,,,,,,,,
12,4,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,6,,,,,,,,,,,,,,,
16,5,,,,,,,,,,,,,,,
17,12,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,15,,,,,,,,,,,,,,,
21,19,,,,,,,,,,,,,,,
22,20,,,,,,,,,,,,,,,
23,,,,,,,,, , ,,,,,,
24,21,,,,,,,,,,,,,,,
25,3,,,,,,,,,,,,,,,
26,2,,,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,18,,,,,,,,,,,,,,,
32,17,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,16,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,TRRS-TIP,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
